last_seen,match_id,event,team1,team2,scope,decision,reason
2026-08-17T06:03:40.039484+00:00,724625,VCT 2026: China Stage 2,A Team,Wolves Esports,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,724626,VCT 2026: China Stage 2,KeepBest Gaming,FunPlus Phoenix,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,724627,VCT 2026: China Stage 2,EDward Gaming,Wolves Esports,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724628,VCT 2026: China Stage 2,Trace Esports,FunPlus Phoenix,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724629,VCT 2026: China Stage 2,All Gamers,JD Gaming,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724630,VCT 2026: China Stage 2,Titan Esports Club,Dragon Ranger Gaming,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724631,VCT 2026: China Stage 2,JD Gaming,EDward Gaming,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724632,VCT 2026: China Stage 2,Dragon Ranger Gaming,Trace Esports,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724633,VCT 2026: China Stage 2,All Gamers,Titan Esports Club,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724634,VCT 2026: China Stage 2,JD Gaming,Trace Esports,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724638,VCT 2026: China Stage 2,TYLOO,Titan Esports Club,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724639,VCT 2026: China Stage 2,Nova Esports,JD Gaming,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,724640,VCT 2026: China Stage 2,Xi Lai Gaming,All Gamers,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,724641,VCT 2026: China Stage 2,Bilibili Gaming,Trace Esports,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,724646,VCT 2026: China Stage 2,Titan Esports Club,Nova Esports,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,724647,VCT 2026: China Stage 2,All Gamers,Trace Esports,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,729664,VCT 2026: EMEA Stage 2,GIANTX,Eintracht Frankfurt,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,729665,VCT 2026: EMEA Stage 2,Natus Vincere,Joblife,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,729666,VCT 2026: EMEA Stage 2,PCIFIC Esports,Fire Flux Esports,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,729667,VCT 2026: EMEA Stage 2,FNATIC,Enterprise Esports,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,729668,VCT 2026: EMEA Stage 2,FUT Esports,GIANTX,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,729669,VCT 2026: EMEA Stage 2,Eternal Fire,Joblife,relevant,defer,beyond max-new limit (25)
2026-08-17T06:03:40.039484+00:00,729670,VCT 2026: EMEA Stage 2,Team Heretics,Fire Flux Esports,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,729671,VCT 2026: EMEA Stage 2,Gentle Mates,Enterprise Esports,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,729672,VCT 2026: EMEA Stage 2,FUT Esports,Eternal Fire,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,729673,VCT 2026: EMEA Stage 2,Fire Flux Esports,Enterprise Esports,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,729674,VCT 2026: EMEA Stage 2,Gentle Mates,Eintracht Frankfurt,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,729675,VCT 2026: EMEA Stage 2,Team Heretics,Natus Vincere,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,729676,VCT 2026: EMEA Stage 2,Joblife,PCIFIC Esports,relevant,skip,already imported
2026-08-17T06:03:40.039484+00:00,729677,VCT 2026: EMEA Stage 2,GIANTX,FNATIC,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,729678,VCT 2026: EMEA Stage 2,Eintracht Frankfurt,Team Heretics,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,729680,VCT 2026: EMEA Stage 2,Joblife,FNATIC,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,729681,VCT 2026: EMEA Stage 2,Eternal Fire,Eintracht Frankfurt,relevant,include,tier-1 VCT event
2026-08-17T06:03:40.039484+00:00,729682,VCT 2026: EMEA Stage 2,Fire Flux Esports,Joblife,relevant,include,tier-1 VCT event
